station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EHKV,2020-05-23 04:55,53.60,46.40,76.50,160.00,27.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230455Z AUTO 16027KT 9999 NSC 12/08 Q1018
EHMA,2020-05-23 04:55,57.20,44.60,62.69,260.00,15.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230455Z AUTO 26015KT 9999 NSC 14/07 Q1017
EHMG,2020-05-23 04:55,55.40,46.40,71.64,240.00,22.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230455Z AUTO 24022KT 9999 NSC 13/08 Q1017
EHPG,2020-05-23 04:55,53.60,51.80,93.60,240.00,22.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 230455Z AUTO 24022KT 9999 NSC 12/11 Q1018
EHSA,2020-05-23 04:55,55.40,50.00,81.99,230.00,22.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230455Z AUTO 23022KT 9999 ///////// 13/10 Q1020 W10/H14
EHSC,2020-05-23 04:55,55.40,50.00,81.99,250.00,21.00,0.00,30.09,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230455Z AUTO 25021KT 9000 ///////// 13/10 Q1019 W13/H14
EHHW,2020-05-23 04:55,53.60,46.40,76.50,240.00,12.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230455Z AUTO 24012KT 210V280 9999 NSC 12/08 Q1016
EHEH,2020-05-23 05:11,55.40,42.80,62.46,230.00,9.00,0.00,30.15,M,6.21,M,FEW,BKN,OVC,M,8100.00,9000.00,9600.00,M,M,M,M,M,M,M,M,M,EHEH 230511Z AUTO 23009KT 200V270 9999 FEW081 BKN090 OVC096 13/06 Q1021 BLU 24008KT CAVOK
EHFS,2020-05-23 05:25,57.20,50.00,76.82,240.00,23.00,0.00,30.12,M,4.97,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,EHFS 230525Z AUTO 24023KT 8000 BKN015/// 14/10 Q1020
EHRD,2020-05-23 05:25,57.20,50.00,76.82,240.00,12.00,0.00,30.12,M,6.21,M,SCT,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,M,EHRD 230525Z AUTO 24012KT 210V280 9999 SCT047 14/10 Q1020 NOSIG
EHEH,2020-05-23 05:25,57.20,42.80,58.52,230.00,8.00,0.00,30.15,M,6.21,M,SCT,BKN,OVC,M,8900.00,9500.00,10000.00,M,M,M,M,M,M,M,M,M,EHEH 230525Z AUTO 23008KT 200V290 9999 SCT089 BKN095 OVC100 14/06 Q1021 BLU 24008KT CAVOK
EHBK,2020-05-23 05:25,55.40,44.60,66.91,230.00,11.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230525Z AUTO 23011KT 9999 NSC 13/07 Q1022 NOSIG
EHDL,2020-05-23 05:25,57.20,48.20,71.83,230.00,8.00,0.00,30.12,M,6.21,M,OVC,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,M,EHDL 230525Z AUTO 23008KT 180V280 9999 OVC018 14/09 Q1020 WHT
EHGG,2020-05-23 05:25,55.40,51.80,87.65,230.00,8.00,0.00,30.06,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHGG 230525Z AUTO 23008KT 8000 NSC 13/11 Q1018 NOSIG
EHGR,2020-05-23 05:25,57.20,44.60,62.69,240.00,7.00,0.00,30.15,M,6.21,M,BKN,OVC,M,M,9600.00,10000.00,M,M,M,M,M,M,M,M,M,M,EHGR 230525Z AUTO 24007KT 210V290 9999 BKN096 OVC100 14/07 Q1021 BLU 10004KT CAVOK
EHKD,2020-05-23 05:25,55.40,46.40,71.64,240.00,14.00,0.00,30.06,M,M,M,OVC,M,M,M,17000.00,M,M,M,M,M,M,M,M,M,M,M,EHKD 230525Z AUTO 24014KT 220V280 9999 OVC170 13/08 Q1018 BLU 24013KT 9999 FEW045 BECMG 24015G27KT
EHLE,2020-05-23 05:25,57.20,51.80,82.12,230.00,8.00,0.00,30.09,M,5.59,M,OVC,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,M,EHLE 230525Z AUTO 23008KT 200V260 9000 OVC035 14/11 Q1019 NOSIG
EHLW,2020-05-23 05:25,57.20,44.60,62.69,260.00,12.00,0.00,30.06,M,6.21,M,SCT,BKN,OVC,M,5600.00,6100.00,6700.00,M,M,M,M,M,M,M,M,M,EHLW 230525Z AUTO 26012KT 9999 SCT056 BKN061 OVC067 14/07 Q1018 BLU
EHAM,2020-05-23 05:25,55.40,50.00,81.99,240.00,12.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 230525Z 24012KT 210V270 9999 FEW013 13/10 Q1019 NOSIG
EHAK,2020-05-23 05:25,53.60,48.20,81.87,220.00,27.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230525Z AUTO 22027KT 9999 NCD 12/09 Q1011
EHDV,2020-05-23 05:25,53.60,46.40,76.50,240.00,22.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230525Z AUTO 24022KT //// // ///////// 12/08 Q1014 RE//
EHFD,2020-05-23 05:25,53.60,46.40,76.50,0.00,0.00,0.00,29.91,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 230525Z AUTO 00000KT 9999 NCD 12/08 Q1013
EHFZ,2020-05-23 05:25,53.60,46.40,76.50,240.00,22.00,0.00,29.97,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230525Z AUTO 24022KT 9999 NSC 12/08 Q1015
EHJA,2020-05-23 05:25,53.60,46.40,76.50,230.00,31.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230525Z AUTO 23031KT 9999 NCD 12/08 Q1015
EHVK,2020-05-23 05:25,55.40,42.80,62.46,230.00,8.00,0.00,30.12,M,6.21,M,FEW,BKN,OVC,M,9300.00,9800.00,10000.00,M,M,M,M,M,M,M,M,M,EHVK 230525Z AUTO 23008KT 9999 FEW093 BKN098 OVC100 13/06 Q1020 BLU
EHVL,2020-05-23 05:25,55.40,46.40,71.64,250.00,20.00,0.00,30.03,M,6.21,M,OVC,M,M,M,19000.00,M,M,M,M,M,M,M,M,M,M,M,EHVL 230525Z AUTO 25020KT 9999 OVC190 13/08 Q1017 BLU
EHWO,2020-05-23 05:25,55.40,48.20,76.66,240.00,9.00,0.00,30.15,M,6.21,M,FEW,OVC,M,M,9600.00,10000.00,M,M,M,M,M,M,M,M,M,M,EHWO 230525Z AUTO 24009KT 9999 FEW096 OVC100 13/09 Q1021 BLU
EHQE,2020-05-23 05:25,55.40,48.20,76.66,210.00,23.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230525Z AUTO 21023KT 9999 NSC 13/09 Q1018
EHJR,2020-05-23 05:25,53.60,46.40,76.50,240.00,25.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230525Z AUTO 24025KT //// // ///////// 12/08 Q1017 RE// W11/H16
EHKV,2020-05-23 05:25,53.60,46.40,76.50,160.00,28.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230525Z AUTO 16028KT 9999 NSC 12/08 Q1018
EHMA,2020-05-23 05:25,57.20,44.60,62.69,250.00,16.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230525Z AUTO 25016KT 9999 NSC 14/07 Q1017
EHMG,2020-05-23 05:25,55.40,46.40,71.64,240.00,23.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230525Z AUTO 24023KT 9999 NSC 13/08 Q1017
EHPG,2020-05-23 05:25,53.60,50.00,87.56,240.00,22.00,0.00,30.09,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 230525Z AUTO 24022KT 9000 NSC 12/10 Q1019
EHSA,2020-05-23 05:25,55.40,50.00,81.99,230.00,23.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230525Z AUTO 23023KT 9999 ///////// 13/10 Q1020 W10/H14
EHSC,2020-05-23 05:25,55.40,50.00,81.99,250.00,21.00,0.00,30.09,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230525Z AUTO 25021KT 9000 ///////// 13/10 Q1019 W13/H13
EHHW,2020-05-23 05:25,53.60,48.20,81.87,240.00,11.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230525Z AUTO 24011KT 200V310 9999 NSC 12/09 Q1016
EHFS,2020-05-23 05:55,57.20,51.80,82.12,240.00,22.00,0.00,30.15,M,4.97,M,SCT,BKN,OVC,M,1400.00,1700.00,2000.00,M,M,M,M,M,M,M,M,M,EHFS 230555Z AUTO 24022KT 8000 SCT014/// BKN017/// OVC020/// 14/11 Q1021
EHRD,2020-05-23 05:55,57.20,50.00,76.82,240.00,12.00,0.00,30.12,M,6.21,M,FEW,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,EHRD 230555Z AUTO 24012KT 210V290 9999 FEW021 14/10 Q1020 NOSIG
EHEH,2020-05-23 05:55,57.20,44.60,62.69,240.00,10.00,0.00,30.15,M,6.21,M,FEW,BKN,OVC,M,8700.00,9500.00,10000.00,M,M,M,M,M,M,M,M,M,EHEH 230555Z AUTO 24010KT 210V280 9999 FEW087 BKN095 OVC100 14/07 Q1021 BLU 24008KT CAVOK
EHBK,2020-05-23 05:55,55.40,44.60,66.91,220.00,10.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230555Z AUTO 22010KT 9999 NSC 13/07 Q1022 NOSIG
EHDL,2020-05-23 05:55,57.20,50.00,76.82,240.00,9.00,0.00,30.12,M,6.21,M,SCT,OVC,M,M,1800.00,9700.00,M,M,M,M,M,M,M,M,M,M,EHDL 230555Z AUTO 24009KT 190V290 9999 SCT018 OVC097 14/10 Q1020 WHT
EHGG,2020-05-23 05:55,57.20,50.00,76.82,240.00,9.00,0.00,30.06,M,5.59,M,BKN,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,M,EHGG 230555Z AUTO 24009KT 210V270 9000 BKN047 14/10 Q1018 NOSIG
EHGR,2020-05-23 05:55,57.20,46.40,67.12,240.00,8.00,0.00,30.15,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHGR 230555Z AUTO 24008KT 210V280 9999 OVC100 14/08 Q1021 BLU 10004KT CAVOK
EHKD,2020-05-23 05:55,57.20,50.00,76.82,230.00,13.00,0.00,30.06,M,M,M,OVC,M,M,M,18000.00,M,M,M,M,M,M,M,M,M,M,M,EHKD 230555Z AUTO 23013KT 9999 OVC180 14/10 Q1018 BLU 24013KT 9999 FEW045 BECMG 24015G27KT
EHLE,2020-05-23 05:55,57.20,50.00,76.82,240.00,10.00,0.00,30.09,M,6.21,M,FEW,SCT,M,M,1600.00,3800.00,M,M,M,M,M,M,M,M,M,M,EHLE 230555Z AUTO 24010KT 210V270 9999 FEW016 SCT038 14/10 Q1019 NOSIG
EHLW,2020-05-23 05:55,57.20,44.60,62.69,260.00,16.00,0.00,30.06,M,6.21,M,BKN,BKN,OVC,M,6000.00,6600.00,17000.00,M,M,M,M,M,M,M,M,M,EHLW 230555Z AUTO 26016KT 230V290 9999 BKN060 BKN066 OVC170 14/07 Q1018 BLU
EHAM,2020-05-23 05:55,57.20,50.00,76.82,250.00,14.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 230555Z 25014KT 220V280 9999 FEW016 14/10 Q1019 NOSIG
EHAK,2020-05-23 05:55,53.60,46.40,76.50,230.00,29.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230555Z AUTO 23029KT 9999 NCD 12/08 Q1011
EHDV,2020-05-23 05:55,53.60,46.40,76.50,240.00,23.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230555Z AUTO 24023KT //// // ///////// 12/08 Q1014 RE//
EHFD,2020-05-23 05:55,51.80,46.40,81.74,0.00,0.00,0.00,29.91,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 230555Z AUTO 00000KT 9999 NCD 11/08 Q1013
EHFZ,2020-05-23 05:55,53.60,46.40,76.50,230.00,22.00,0.00,29.97,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230555Z AUTO 23022KT 9999 NSC 12/08 Q1015
EHJA,2020-05-23 05:55,53.60,46.40,76.50,230.00,30.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230555Z AUTO 23030KT 9999 NCD 12/08 Q1015
EHVK,2020-05-23 05:55,57.20,44.60,62.69,240.00,10.00,0.00,30.15,M,6.21,M,BKN,OVC,M,M,9900.00,10000.00,M,M,M,M,M,M,M,M,M,M,EHVK 230555Z AUTO 24010KT 200V280 9999 BKN099 OVC100 14/07 Q1021 BLU
EHVL,2020-05-23 05:55,55.40,46.40,71.64,250.00,22.00,0.00,30.03,M,6.21,M,OVC,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,M,EHVL 230555Z AUTO 25022KT 9999 OVC200 13/08 Q1017 BLU
EHWO,2020-05-23 05:55,57.20,48.20,71.83,240.00,10.00,0.00,30.15,M,6.21,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,EHWO 230555Z AUTO 24010KT 9999 OVC110 14/09 Q1021 BLU
EHQE,2020-05-23 05:55,55.40,46.40,71.64,210.00,25.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230555Z AUTO 21025KT 9999 NSC 13/08 Q1018
EHJR,2020-05-23 05:55,53.60,46.40,76.50,240.00,24.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230555Z AUTO 24024KT //// // ///////// 12/08 Q1017 RE// W11/H17
EHKV,2020-05-23 05:55,53.60,46.40,76.50,160.00,27.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230555Z AUTO 16027KT 9999 NSC 12/08 Q1019
EHMA,2020-05-23 05:55,57.20,44.60,62.69,250.00,16.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230555Z AUTO 25016KT 9999 NSC 14/07 Q1017
EHMG,2020-05-23 05:55,53.60,48.20,81.87,250.00,23.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230555Z AUTO 25023KT 9999 NSC 12/09 Q1017
EHPG,2020-05-23 05:55,53.60,50.00,87.56,240.00,22.00,0.00,30.09,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 230555Z AUTO 24022KT 9000 NSC 12/10 Q1019
EHSA,2020-05-23 05:55,55.40,50.00,81.99,220.00,24.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230555Z AUTO 22024KT 9999 ///////// 13/10 Q1020 W10/H14
EHSC,2020-05-23 05:55,55.40,50.00,81.99,250.00,20.00,0.00,30.09,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230555Z AUTO 25020KT 9000 ///////// 13/10 Q1019 W13/H14
EHHW,2020-05-23 05:55,55.40,46.40,71.64,260.00,9.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230555Z AUTO 26009KT 210V300 9999 NSC 13/08 Q1016
EHWO,2020-05-23 06:07,57.20,46.40,67.12,240.00,14.00,0.00,30.15,M,6.21,M,SCT,OVC,M,M,2400.00,11000.00,M,M,M,M,M,M,M,M,M,M,EHWO 230607Z AUTO 24014KT 9999 SCT024 OVC110 14/08 Q1021 WHT
EHFS,2020-05-23 06:25,57.20,50.00,76.82,230.00,17.00,0.00,30.15,M,5.59,M,BKN,BKN,OVC,M,1600.00,2000.00,2400.00,M,M,M,M,M,M,M,M,M,EHFS 230625Z AUTO 23017KT 9000 BKN016/// BKN020/// OVC024/// 14/10 Q1021
EHRD,2020-05-23 06:25,57.20,50.00,76.82,250.00,12.00,0.00,30.12,M,6.21,M,SCT,BKN,BKN,M,1800.00,2200.00,2600.00,M,M,M,M,M,M,M,M,M,EHRD 230625Z AUTO 25012KT 200V290 9999 SCT018 BKN022 BKN026 14/10 Q1020 NOSIG
EHEH,2020-05-23 06:25,57.20,44.60,62.69,230.00,11.00,0.00,30.15,M,6.21,M,SCT,BKN,OVC,M,8000.00,8600.00,9400.00,M,M,M,M,M,M,M,M,M,EHEH 230625Z AUTO 23011KT 210V290 9999 SCT080 BKN086 OVC094 14/07 Q1021 BLU 24008KT CAVOK
EHBK,2020-05-23 06:25,55.40,46.40,71.64,230.00,10.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230625Z AUTO 23010KT 200V270 9999 NSC 13/08 Q1022 NOSIG
EHDL,2020-05-23 06:25,57.20,50.00,76.82,240.00,11.00,0.00,30.12,M,6.21,M,BKN,OVC,M,M,1600.00,2000.00,M,M,M,M,M,M,M,M,M,M,EHDL 230625Z AUTO 24011KT 190V280 9999 BKN016 OVC020 14/10 Q1020 WHT
EHGG,2020-05-23 06:25,59.00,50.00,72.01,240.00,10.00,0.00,30.06,M,6.21,M,SCT,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,M,EHGG 230625Z AUTO 24010KT 210V270 9999 SCT047 15/10 Q1018 NOSIG
EHGR,2020-05-23 06:25,57.20,48.20,71.83,240.00,8.00,0.00,30.15,M,6.21,M,SCT,OVC,M,M,3900.00,11000.00,M,M,M,M,M,M,M,M,M,M,EHGR 230625Z AUTO 24008KT 210V280 9999 SCT039 OVC110 14/09 Q1021 BLU 10004KT CAVOK
EHKD,2020-05-23 06:25,57.20,50.00,76.82,230.00,14.00,0.00,30.06,M,M,M,BKN,OVC,M,M,16000.00,21000.00,M,M,M,M,M,M,M,M,M,M,EHKD 230625Z AUTO 23014KT 200V260 9999 BKN160 OVC210 14/10 Q1018 BLU 24013KT 9999 FEW045 BECMG 24015G27KT
EHLE,2020-05-23 06:25,57.20,51.80,82.12,240.00,10.00,0.00,30.09,M,6.21,M,BKN,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,EHLE 230625Z AUTO 24010KT 210V270 9999 BKN016 14/11 Q1019 NOSIG
EHLW,2020-05-23 06:25,57.20,46.40,67.12,260.00,16.00,0.00,30.06,M,6.21,M,OVC,M,M,M,18000.00,M,M,M,M,M,M,M,M,M,M,M,EHLW 230625Z AUTO 26016KT 220V290 9999 OVC180 14/08 Q1018 BLU
EHAM,2020-05-23 06:25,57.20,48.20,71.83,250.00,14.00,0.00,30.12,M,6.21,M,FEW,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 230625Z 25014KT 210V280 9999 FEW021 14/09 Q1020 NOSIG
EHAK,2020-05-23 06:25,51.80,46.40,81.74,230.00,29.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230625Z AUTO 23029KT 200V260 9999 NCD 11/08 Q1011
EHDV,2020-05-23 06:25,51.80,46.40,81.74,240.00,23.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230625Z AUTO 24023KT //// // ///////// 11/08 Q1013 RE//
EHFD,2020-05-23 06:25,51.80,46.40,81.74,0.00,0.00,0.00,29.91,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 230625Z AUTO 00000KT 9999 NCD 11/08 Q1013
EHFZ,2020-05-23 06:25,53.60,46.40,76.50,230.00,23.00,0.00,29.97,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230625Z AUTO 23023KT 9999 NSC 12/08 Q1015
EHJA,2020-05-23 06:25,53.60,46.40,76.50,230.00,29.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230625Z AUTO 23029KT 9999 NCD 12/08 Q1015
EHVK,2020-05-23 06:25,57.20,44.60,62.69,240.00,9.00,0.00,30.15,M,6.21,M,FEW,SCT,OVC,M,9000.00,9800.00,10000.00,M,M,M,M,M,M,M,M,M,EHVK 230625Z AUTO 24009KT 200V280 9999 FEW090 SCT098 OVC100 14/07 Q1021 BLU
EHVL,2020-05-23 06:25,55.40,46.40,71.64,250.00,22.00,0.00,30.06,M,6.21,M,OVC,M,M,M,22000.00,M,M,M,M,M,M,M,M,M,M,M,EHVL 230625Z AUTO 25022KT 9999 OVC220 13/08 Q1018 BLU
EHWO,2020-05-23 06:25,57.20,48.20,71.83,240.00,14.00,0.00,30.15,M,6.21,M,SCT,OVC,M,M,2000.00,11000.00,M,M,M,M,M,M,M,M,M,M,EHWO 230625Z AUTO 24014KT 210V270 9999 SCT020 OVC110 14/09 Q1021 WHT
EHQE,2020-05-23 06:25,55.40,46.40,71.64,210.00,25.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230625Z AUTO 21025KT 9999 NSC 13/08 Q1018
EHJR,2020-05-23 06:25,53.60,44.60,71.45,240.00,28.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230625Z AUTO 24028KT //// // ///////// 12/07 Q1017 RE// W11/H17
EHKV,2020-05-23 06:25,53.60,46.40,76.50,160.00,26.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230625Z AUTO 16026KT 9999 NSC 12/08 Q1019
EHMA,2020-05-23 06:25,57.20,46.40,67.12,260.00,18.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230625Z AUTO 26018KT 9999 NSC 14/08 Q1017 REDZ
EHMG,2020-05-23 06:25,53.60,48.20,81.87,240.00,24.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230625Z AUTO 24024KT 9999 NSC 12/09 Q1017
EHPG,2020-05-23 06:25,53.60,50.00,87.56,240.00,24.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 230625Z AUTO 24024KT 9999 NSC 12/10 Q1019
EHSA,2020-05-23 06:25,55.40,50.00,81.99,220.00,23.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230625Z AUTO 22023KT 9999 ///////// 13/10 Q1020 W10/H13
EHSC,2020-05-23 06:25,55.40,48.20,76.66,260.00,24.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230625Z AUTO 26024KT 9999 ///////// 13/09 Q1019 W13/H12
EHHW,2020-05-23 06:25,55.40,46.40,71.64,260.00,13.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230625Z AUTO 26013KT 220V300 9999 NSC 13/08 Q1016
EHWO,2020-05-23 06:32,57.20,48.20,71.83,240.00,12.00,0.00,30.15,M,6.21,M,FEW,OVC,M,M,2000.00,13000.00,M,M,M,M,M,M,M,M,M,M,EHWO 230632Z AUTO 24012KT 210V280 9999 FEW020 OVC130 14/09 Q1021 BLU
EHFS,2020-05-23 06:55,57.20,50.00,76.82,240.00,20.00,0.00,30.15,M,5.59,M,SCT,BKN,BKN,M,1600.00,2100.00,2700.00,M,M,M,M,M,M,M,M,M,EHFS 230655Z AUTO 24020KT 9000 SCT016/// BKN021/// BKN027/// 14/10 Q1021
EHRD,2020-05-23 06:55,57.20,48.20,71.83,240.00,14.00,0.00,30.15,M,6.21,M,SCT,BKN,M,M,1900.00,2300.00,M,M,M,M,M,M,M,M,M,M,EHRD 230655Z AUTO 24014KT 9999 SCT019 BKN023 14/09 Q1021 NOSIG
EHEH,2020-05-23 06:55,57.20,46.40,67.12,230.00,11.00,0.00,30.18,M,6.21,M,SCT,OVC,M,M,9500.00,10000.00,M,M,M,M,M,M,M,M,M,M,EHEH 230655Z AUTO 23011KT 200V260 9999 SCT095 OVC100 14/08 Q1022 BLU 24008KT CAVOK
EHBK,2020-05-23 06:55,55.40,46.40,71.64,240.00,10.00,0.00,30.21,M,6.21,M,FEW,M,M,M,4900.00,M,M,M,M,M,M,M,M,M,M,M,EHBK 230655Z AUTO 24010KT 210V270 9999 FEW049 13/08 Q1023 NOSIG
EHDL,2020-05-23 06:55,59.00,50.00,72.01,240.00,11.00,0.00,30.12,M,6.21,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,EHDL 230655Z AUTO 24011KT 180V280 9999 OVC016 15/10 Q1020 WHT
EHGG,2020-05-23 06:55,59.00,48.20,67.33,250.00,14.00,0.00,30.06,M,6.21,M,SCT,SCT,M,M,2700.00,3100.00,M,M,M,M,M,M,M,M,M,M,EHGG 230655Z AUTO 25014KT 210V290 9999 SCT027 SCT031 15/09 Q1018 NOSIG
EHGR,2020-05-23 06:55,57.20,46.40,67.12,240.00,11.00,0.00,30.15,M,6.21,M,FEW,OVC,M,M,2400.00,11000.00,M,M,M,M,M,M,M,M,M,M,EHGR 230655Z AUTO 24011KT 220V280 9999 FEW024 OVC110 14/08 Q1021 BLU 10004KT CAVOK
EHKD,2020-05-23 06:55,57.20,48.20,71.83,240.00,16.00,0.00,30.09,M,M,M,OVC,M,M,M,22000.00,M,M,M,M,M,M,M,M,M,M,M,EHKD 230655Z AUTO 24016KT 210V280 9999 OVC220 14/09 Q1019 BLU 24013KT 9999 FEW045 BECMG 24015G27KT
EHLE,2020-05-23 06:55,59.00,51.80,76.98,250.00,13.00,0.00,30.09,M,6.21,M,BKN,BKN,M,M,1600.00,2300.00,M,M,M,M,M,M,M,M,M,M,EHLE 230655Z AUTO 25013KT 9999 BKN016 BKN023 15/11 Q1019 NOSIG
